Predictor,ROC Index,threshold,sensitivity,specificity,1-specificity
Dahl2021_p,65,0.4065751021188847,0.7391304347826086,0.7096774193548387,0.2903225806451613
Dahl2021_p,66,0.40395083024777245,0.7536231884057971,0.7096774193548387,0.2903225806451613
Dahl2021_p,67,0.4037996329510034,0.7536231884057971,0.6935483870967742,0.3064516129032258
Dahl2021_p,68,0.39468715144491745,0.7971014492753623,0.6774193548387097,0.3225806451612903
Dahl2021_p,69,0.3936283241964142,0.8115942028985508,0.6774193548387097,0.3225806451612903
Dahl2021_p,70,0.38982164159123445,0.8115942028985508,0.6612903225806452,0.3387096774193548
Dahl2021_p,71,0.3828894207142866,0.8260869565217391,0.6612903225806452,0.3387096774193548
Dahl2021_p,72,0.38111035463466814,0.8260869565217391,0.6451612903225806,0.3548387096774194
Dahl2021_p,73,0.373218021861347,0.8260869565217391,0.6290322580645161,0.3709677419354839
Dahl2021_p,74,0.3691870402631055,0.8260869565217391,0.6129032258064516,0.3870967741935484
Dahl2021_p,75,0.3603835082471354,0.8405797101449275,0.6129032258064516,0.3870967741935484
Dahl2021_p,76,0.3562682829610544,0.8405797101449275,0.5967741935483871,0.4032258064516129
Dahl2021_p,77,0.35554847706589027,0.8405797101449275,0.5806451612903225,0.41935483870967744
Dahl2021_p,78,0.3539672052626412,0.8405797101449275,0.5483870967741935,0.45161290322580644
Dahl2021_p,79,0.35389540478681314,0.8405797101449275,0.532258064516129,0.46774193548387094
Dahl2021_p,80,0.34738946479029914,0.8405797101449275,0.5161290322580645,0.4838709677419355
Dahl2021_p,81,0.3438472712954486,0.8405797101449275,0.5,0.5
Dahl2021_p,82,0.33714034239942375,0.8405797101449275,0.4838709677419355,0.5161290322580645
Dahl2021_p,83,0.32690387117503944,0.8405797101449275,0.467741935483871,0.532258064516129
Dahl2021_p,84,0.3171695709582343,0.8405797101449275,0.4516129032258065,0.5483870967741935
Dahl2021_p,85,0.3148619633765827,0.855072463768116,0.4516129032258065,0.5483870967741935
Dahl2021_p,86,0.314260835793069,0.855072463768116,0.4354838709677419,0.5645161290322581
Dahl2021_p,87,0.3108119711298855,0.8695652173913043,0.4354838709677419,0.5645161290322581
Dahl2021_p,88,0.3076007636846758,0.8695652173913043,0.4193548387096774,0.5806451612903226
Dahl2021_p,89,0.2961456607215627,0.8695652173913043,0.4032258064516129,0.5967741935483871
Dahl2021_p,90,0.2903316207412044,0.8695652173913043,0.3870967741935484,0.6129032258064516
Dahl2021_p,91,0.28891036633113165,0.8695652173913043,0.3709677419354839,0.6290322580645161
Dahl2021_p,92,0.2872581508842457,0.8695652173913043,0.3548387096774194,0.6451612903225806
Dahl2021_p,93,0.28405448486664936,0.8695652173913043,0.33870967741935487,0.6612903225806451
Dahl2021_p,94,0.28367149636050754,0.8840579710144928,0.33870967741935487,0.6612903225806451
Dahl2021_p,95,0.271188297245071,0.8985507246376812,0.33870967741935487,0.6612903225806451
Dahl2021_p,96,0.2694135515985271,0.8985507246376812,0.32258064516129037,0.6774193548387096
Dahl2021_p,97,0.2636836035172852,0.8985507246376812,0.30645161290322576,0.6935483870967742
Dahl2021_p,98,0.26072803852357446,0.8985507246376812,0.29032258064516125,0.7096774193548387
Dahl2021_p,99,0.25464124131593757,0.8985507246376812,0.27419354838709675,0.7258064516129032
Dahl2021_p,100,0.2540457314920327,0.8985507246376812,0.25806451612903225,0.7419354838709677
Dahl2021_p,101,0.2535105584663946,0.8985507246376812,0.24193548387096775,0.7580645161290323
Dahl2021_p,102,0.25303547457586667,0.8985507246376812,0.22580645161290325,0.7741935483870968
Dahl2021_p,103,0.25125915985171626,0.8985507246376812,0.20967741935483875,0.7903225806451613
Dahl2021_p,104,0.2494911499104937,0.9130434782608695,0.20967741935483875,0.7903225806451613
Dahl2021_p,105,0.24814131219766167,0.9130434782608695,0.19354838709677424,0.8064516129032258
Dahl2021_p,106,0.2477899863988952,0.927536231884058,0.19354838709677424,0.8064516129032258
Dahl2021_p,107,0.24400537732922487,0.927536231884058,0.17741935483870963,0.8225806451612904
Dahl2021_p,108,0.24313758685115416,0.927536231884058,0.16129032258064513,0.8387096774193549
Dahl2021_p,109,0.24250253994362428,0.927536231884058,0.12903225806451613,0.8709677419354839
Dahl2021_p,110,0.2401079080050662,0.9420289855072463,0.12903225806451613,0.8709677419354839
Dahl2021_p,111,0.23474451371718347,0.9565217391304348,0.12903225806451613,0.8709677419354839
Dahl2021_p,112,0.23143288032996637,0.9565217391304348,0.11290322580645162,0.8870967741935484
Dahl2021_p,113,0.2292618309017938,0.9565217391304348,0.09677419354838712,0.9032258064516129
Dahl2021_p,114,0.22749117257920534,0.9565217391304348,0.08064516129032262,0.9193548387096774
Dahl2021_p,115,0.2271051297765104,0.9565217391304348,0.06451612903225812,0.9354838709677419
Dahl2021_p,116,0.2221287246578428,0.9565217391304348,0.048387096774193505,0.9516129032258065
Dahl2021_p,117,0.21733752104706255,0.9710144927536232,0.048387096774193505,0.9516129032258065
Dahl2021_p,118,0.20499643665869147,0.9710144927536232,0.032258064516129004,0.967741935483871
Dahl2021_p,119,0.1977754912502217,0.9855072463768116,0.032258064516129004,0.967741935483871
Dahl2021_p,120,0.19707894690370423,0.9855072463768116,0.016129032258064502,0.9838709677419355
Dahl2021_p,121,0.1880003629142216,1.0,0.016129032258064502,0.9838709677419355
Dahl2021_p,122,0.16921963097045797,1.0,0.0,1.0
Bilgory2023_p,0,1.8756645577466369,0.0,1.0,0.0
Bilgory2023_p,1,0.875664557746637,0.17391304347826086,0.9365079365079365,0.06349206349206349
Bilgory2023_p,2,0.8023425255053283,0.7391304347826086,0.6031746031746033,0.3968253968253968
Bilgory2023_p,3,0.5653736147259241,0.7536231884057971,0.5555555555555556,0.4444444444444444
Bilgory2023_p,4,0.46182444193123817,0.7681159420289855,0.5555555555555556,0.4444444444444444
Bilgory2023_p,5,0.4284935705324441,0.9710144927536232,0.031746031746031744,0.9682539682539683
Bilgory2023_p,6,0.1368149277592992,1.0,0.0,1.0
LopezPerez2020_p,0,1.8367168621033971,0.0,1.0,0.0
LopezPerez2020_p,1,0.836716862103397,0.4057971014492754,0.873015873015873,0.12698412698412698
LopezPerez2020_p,2,0.7713588577824392,0.5217391304347826,0.6349206349206349,0.36507936507936506
LopezPerez2020_p,3,0.7045375762042413,0.6956521739130435,0.5555555555555556,0.4444444444444444
LopezPerez2020_p,4,0.6802671966986485,0.8695652173913043,0.3650793650793651,0.6349206349206349
LopezPerez2020_p,5,0.6108769665867652,0.8840579710144928,0.33333333333333337,0.6666666666666666
LopezPerez2020_p,6,0.5834616035102306,1.0,0.0,1.0
Kok2011_score,0,23.0,0.0,1.0,0.0
Kok2011_score,1,22.0,0.5555555555555556,0.7924528301886793,0.20754716981132076
Kok2011_score,2,21.0,0.6984126984126984,0.5660377358490566,0.4339622641509434
